Index,No,movie,week_at_Top10,hours_seen,duration,views
7,8,Riddick,1,3980000,00:00:00,0
8,9,Minions: The Rise of Gru,5,3810000,00:00:00,0
9,10,We Have a Ghost,5,3540000,00:00:00,0
0,1,Luther: The Fallen Sun,2,69540000,00:00:00,0
1,2,Faraway,2,14830000,00:00:00,0
2,3,The Magician's Elephant,1,13690000,00:00:00,0
3,4,Money Shot: The Pornhub Story,1,13670000,00:00:00,0
4,5,Dragged Across Concrete,1,9590000,00:00:00,0
5,6,We Have a Ghost,4,5960000,00:00:00,0
6,7,The Hunger Games: Catching Fire,2,5010000,00:00:00,0
7,8,Turbo,3,5000000,00:00:00,0
8,9,The Hunger Games,3,4900000,00:00:00,0
9,10,Kick-Ass 2,1,4030000,00:00:00,0
0,1,Luther: The Fallen Sun,1,65920000,00:00:00,0
1,2,Faraway,1,21810000,00:00:00,0
2,3,We Have a Ghost,3,13390000,00:00:00,0
3,4,The Hunger Games,2,8320000,00:00:00,0
4,5,Turbo,2,7980000,00:00:00,0
5,6,The Hunger Games: Catching Fire,1,7340000,00:00:00,0
6,7,Paw Patrol: The Movie,2,6530000,00:00:00,0
7,8,This Is Where I Leave You,2,6220000,00:00:00,0
8,9,World War Z,1,5560000,00:00:00,0
9,10,Burlesque,1,5540000,00:00:00,0
0,1,We Have a Ghost,2,42620000,00:00:00,0
1,2,The Strays,2,14570000,00:00:00,0
2,3,The Condemned,1,10230000,00:00:00,0
3,4,R.I.P.D.,1,8330000,00:00:00,0
4,5,Bad Boys for Life,2,8330000,00:00:00,0
5,6,Your Place or Mine,4,7500000,00:00:00,0
6,7,This Is Where I Leave You,1,6580000,00:00:00,0
7,8,The Hunger Games,1,6230000,00:00:00,0
8,9,The Hangover: Part III,1,5800000,00:00:00,0
9,10,Paw Patrol: The Movie,1,5620000,00:00:00,0
0,1,We Have a Ghost,1,40470000,00:00:00,0
1,2,The Strays,1,28780000,00:00:00,0
2,3,Your Place or Mine,3,22290000,00:00:00,0
3,4,Army of One,1,15600000,00:00:00,0
4,5,The Woman King,2,10230000,00:00:00,0
5,6,2 Guns,2,8550000,00:00:00,0
6,7,Jurassic World,2,7430000,00:00:00,0
7,8,Mission: Impossible - Fallout,2,6360000,00:00:00,0
8,9,Minions: The Rise of Gru,4,6270000,00:00:00,0
9,10,Bad Boys for Life,1,6070000,00:00:00,0
0,1,Your Place or Mine,2,53810000,00:00:00,0
1,2,2 Guns,1,12460000,00:00:00,0
2,3,The Woman King,1,12210000,00:00:00,0
3,4,You People,4,8500000,00:00:00,0
4,5,Minions: The Rise of Gru,3,7960000,00:00:00,0
5,6,Mission: Impossible - Fallout,1,5940000,00:00:00,0
6,7,47 Meters Down: Uncaged,1,5800000,00:00:00,0
7,8,True Spirit,3,5740000,00:00:00,0
8,9,Bloodshot,4,4620000,00:00:00,0
9,10,Jurassic World,1,4330000,00:00:00,0
0,1,Your Place or Mine,1,51230000,00:00:00,0
1,2,True Spirit,2,20730000,00:00:00,0
2,3,You People,3,20400000,00:00:00,0
3,4,Bloodshot,3,14380000,00:00:00,0
4,5,Minions: The Rise of Gru,2,11500000,00:00:00,0
5,6,"Lyle, Lyle, Crocodile",1,9110000,00:00:00,0
6,7,"Pamela, a love story",2,8710000,00:00:00,0
7,8,Sniper: Ultimate Kill,1,6760000,00:00:00,0
8,9,Enough,2,5400000,00:00:00,0
9,10,Sniper: Ghost Shooter,2,5390000,00:00:00,0
0,1,You People,2,65610000,00:00:00,0
1,2,"Pamela, a love story",1,24330000,00:00:00,0
2,3,Minions: The Rise of Gru,1,19360000,00:00:00,0
3,4,Sniper: Ghost Shooter,1,12490000,00:00:00,0
4,5,True Spirit,1,11090000,00:00:00,0
5,6,The Hurricane Heist,1,10120000,00:00:00,0
6,7,Bloodshot,2,8720000,00:00:00,0
7,8,Glass Onion: A Knives Out Mystery,7,6830000,00:00:00,0
8,9,Flushed Away,1,5090000,00:00:00,0
9,10,Inheritance,3,4790000,00:00:00,0
0,1,You People,1,55650000,00:00:00,0
1,2,Inheritance,2,11550000,00:00:00,0
2,3,Glass Onion: A Knives Out Mystery,6,9670000,00:00:00,0
3,4,Puss in Boots,2,6010000,00:00:00,0
4,5,Devotion,1,5910000,00:00:00,0
5,6,Dog Gone,3,5800000,00:00:00,0
6,7,The Pale Blue Eye,4,5460000,00:00:00,0
7,8,Sing,8,5320000,00:00:00,0
8,9,Roald Dahl's Matilda The Musical,5,4600000,00:00:00,0
9,10,Trolls,5,3790000,00:00:00,0
0,1,Dog Gone,2,20910000,00:00:00,0
1,2,The Pale Blue Eye,3,12690000,00:00:00,0
2,3,Glass Onion: A Knives Out Mystery,5,12040000,00:00:00,0
3,4,The Hatchet Wielding Hitchhiker,2,8230000,00:00:00,0
4,5,Sing,7,7090000,00:00:00,0
5,6,Roald Dahl's Matilda The Musical,4,6040000,00:00:00,0
6,7,Puss in Boots,1,5860000,00:00:00,0
7,8,A Quiet Place Part II,1,4760000,00:00:00,0
8,9,Trolls,4,4080000,00:00:00,0
9,10,Disconnect: The Wedding Planner,1,3790000,00:00:00,0
0,1,The Pale Blue Eye,2,39860000,00:00:00,0
1,2,The Hatchet Wielding Hitchhiker,1,21270000,00:00:00,0
2,3,Glass Onion: A Knives Out Mystery,4,19480000,00:00:00,0
3,4,Dog Gone,1,18880000,00:00:00,0
4,5,Sing,6,10400000,00:00:00,0
5,6,Roald Dahl's Matilda The Musical,3,8310000,00:00:00,0
6,7,Jumanji: The Next Level,3,6360000,00:00:00,0
7,8,Transformers: Dark of the Moon,1,5630000,00:00:00,0
8,9,Colombiana,1,4860000,00:00:00,0
9,10,Daddy Day Care,1,4850000,00:00:00,0
0,1,Glass Onion: A Knives Out Mystery,3,44320000,00:00:00,0
1,2,The Pale Blue Eye,1,42960000,00:00:00,0
2,3,Jumanji: The Next Level,2,17550000,00:00:00,0
3,4,Roald Dahl's Matilda The Musical,2,17500000,00:00:00,0
4,5,White Noise,2,14340000,00:00:00,0
5,6,Honest Thief,1,10200000,00:00:00,0
6,7,Sing,5,9560000,00:00:00,0
7,8,Knives Out,2,7470000,00:00:00,0
8,9,Hard Target 2,1,7460000,00:00:00,0
9,10,Trolls,3,6500000,00:00:00,0
0,1,Glass Onion: A Knives Out Mystery,2,127250000,00:00:00,0
1,2,Roald Dahl's Matilda The Musical,1,41060000,00:00:00,0
