Index,No,movie,week_at_Top10
6,7,How to Be Single,2
7,8,Last Christmas,2
8,9,Yara,1
9,10,A Time to Kill,1
0,1,The Harder They Fall,1
1,2,Jumanji: The Next Level,1
2,3,Army of Thieves,2
3,4,Love Hard,1
4,5,Bloodshot,2
5,6,John Wick: Chapter 2,1
6,7,How to Be Single,1
7,8,Ransom,1
8,9,Out of Death,1
9,10,Harriet,1
0,1,Bloodshot,1
1,2,Army of Thieves,1
2,3,Hypnotic,1
3,4,The Addams Family,3
4,5,Falling for Figaro,1
5,6,Night Teeth,2
6,7,The Next Three Days,2
7,8,The Forgotten Battle,3
8,9,Scary Movie,1
9,10,Shazam!,3
0,1,The Forgotten Battle,2
1,2,Night Teeth,1
2,3,The Next Three Days,1
3,4,Last Christmas,1
4,5,Spider-Man 3,2
5,6,What Happens in Vegas,1
6,7,Shazam!,2
7,8,The Addams Family,2
8,9,Office Christmas Party,2
9,10,Unfaithful,1
0,1,Shazam!,1
1,2,The Forgotten Battle,1
2,3,Spider-Man 3,1
3,4,The Guilty,3
4,5,The Addams Family,1
5,6,Office Christmas Party,1
6,7,Security,1
7,8,The Amazing Spider-Man 2,2
8,9,Get Rich or Die Tryin',2
9,10,My Little Pony: A New Generation,4
0,1,The Guilty,2
1,2,The Amazing Spider-Man,1
2,3,Spider-Man,2
3,4,The Amazing Spider-Man 2,1
4,5,There's Someone Inside Your House,1
5,6,Get Rich or Die Tryin',1
6,7,Pain & Gain,1
7,8,The Emoji Movie,2
8,9,Body of Lies,1
9,10,My Little Pony: A New Generation,3
0,1,The Guilty,1
1,2,Man of Steel,2
2,3,Britney Vs Spears,1
3,4,My Little Pony: A New Generation,2
4,5,The Starling,2
5,6,The Emoji Movie,1
6,7,Spider-Man,1
7,8,Charlie's Angels,1
8,9,Gemini Man,3
9,10,Papillon,2
0,1,Gemini Man,2
1,2,Intrusion,1
2,3,Man on Fire,2
3,4,Papillon,1
4,5,Django Unchained,1
5,6,Black and Blue,2
6,7,My Little Pony: A New Generation,1
7,8,The Starling,1
8,9,Schumacher,2
9,10,Man of Steel,1
0,1,Man on Fire,1
1,2,Schumacher,1
2,3,Kate,2
3,4,Gemini Man,1
4,5,Zombieland: Double Tap,2
5,6,1917,1
6,7,Nightbooks,1
7,8,Black and Blue,1
8,9,The Smurfs 2,2
9,10,Rise of the Footsoldier 3: The Pat Tate Story,1
0,1,Kate,1
1,2,Homefront,1
2,3,Worth,1
3,4,The Smurfs 2,1
4,5,Wrong Turn,2
5,6,Afterlife of the Party,2
6,7,Zombieland: Double Tap,1
7,8,Rush Hour,2
8,9,Double Jeopardy,1
9,10,In Time,2
0,1,He's All That,2
1,2,Rush Hour,1
2,3,Afterlife of the Party,1
3,4,In Time,1
4,5,Shot Caller,1
5,6,Fear of Rain,2
6,7,The Blind Side,1
7,8,Wrong Turn,1
8,9,Tomb Raider,2
9,10,Sweet Girl,3
0,1,Sweet Girl,2
1,2,He's All That,1
2,3,Tomb Raider,1
3,4,The Loud House Movie,2
4,5,The Secret Life of Pets,1
5,6,Fear of Rain,1
6,7,Memories of a Murderer: The Nilsen Tapes,2
7,8,The Witcher: Nightmare of the Wolf,1
8,9,Vivo,4
9,10,The LEGO Movie 2: The Second Part,2
0,1,Sweet Girl,1
1,2,Beckett,2
2,3,Memories of a Murderer: The Nilsen Tapes,1
3,4,The LEGO Movie 2: The Second Part,1
4,5,The Kissing Booth 3,2
5,6,Vivo,3
6,7,Mr. Peabody & Sherman,1
7,8,The Girl Next Door,1
8,9,The Loud House Movie,1
9,10,Suicide Squad,5
0,1,The Kissing Booth 3,1
1,2,Vivo,2
2,3,Beckett,1
3,4,Aftermath,2
4,5,Vendetta,1
5,6,Paddington,1
6,7,Suicide Squad,4
7,8,The Mule,2
8,9,The Island,1
9,10,World Trade Center,2
0,1,Aftermath,1
1,2,Chaos,1
2,3,The Mule,1
3,4,Suicide Squad,3
4,5,Resort to Love,2
5,6,World Trade Center,1
6,7,Blitz,1
7,8,Solomon Kane,1
8,9,Vivo,1
9,10,The Accountant,2
0,1,Blood Red Sky,2
1,2,Suicide Squad,2
2,3,The Accountant,1
3,4,Resort to Love,1
4,5,Chernobyl 1986,2
5,6,Storks,2
6,7,The Legend of Tarzan,1
7,8,The Lego Batman Movie,1
8,9,Kong: Skull Island,1
9,10,The Magnificent Seven,3
0,1,Suicide Squad,1
1,2,The Magnificent Seven,2
2,3,Blood Red Sky,1
3,4,The Matrix,1
4,5,Chernobyl 1986,1
5,6,300: Rise of an Empire,1
6,7,Storks,1
7,8,The Matrix Reloaded,1
8,9,Trollhunters: Rise of the Titans,1
9,10,Fear Street Part 3: 1666,2
0,1,Once Upon a Time in Hollywood,2
1,2,Fast & Furious Presents: Hobbs & Shaw,3
2,3,Fear Street Part 3: 1666,1
3,4,The Magnificent Seven,1
4,5,Fear Street Part 2: 1978,2
5,6,Fear Street Part 1: 1994,3
6,7,Dora and the Lost City of Gold,1
7,8,Rust Creek,1
8,9,Chicken Run,1
9,10,Split,2
0,1,Fast & Furious Presents: Hobbs & Shaw,2
1,2,Once Upon a Time in Hollywood,1
2,3,Fear Street Part 1: 1994,2
3,4,Fear Street Part 2: 1978,1
4,5,Me Before You,1
5,6,Criminal,1
6,7,Fatherhood,2
7,8,Split,1
8,9,The Angry Birds Movie 2,2
9,10,Bridget Jones's Baby,1
