No,movie,week_at_Top10,hours_seen,duration,views
5,Morbius,2,7530000,,
6,I Came By,3,7360000,,
7,Despicable Me 2,9,7160000,,
8,The Invisible Man,1,6530000,,
9,Dolittle,1,5580000,,
10,This Is the End,1,5250000,,
1,End of the Road,1,30210000,,
2,Love in the Villa,2,29530000,,
3,I Came By,2,26800000,,
4,Me Time,3,20660000,,
5,Morbius,1,12200000,,
6,White Chicks,1,9210000,,
7,Despicable Me 2,8,7590000,,
8,Hanna,1,7120000,,
9,Triple 9,1,6530000,,
10,Labor Day,1,6510000,,
1,Me Time,2,56560000,,
2,Love in the Villa,1,41220000,,
3,I Came By,1,30790000,,
4,That's Amor,2,17420000,,
5,Look Both Ways,3,11780000,,
6,Day Shift,4,9450000,,
7,The Next 365 Days,3,9070000,,
8,Purple Hearts,6,7520000,,
9,The Gray Man,6,6260000,,
10,Collateral,1,6100000,,
1,Me Time,1,59230000,,
2,Look Both Ways,2,29890000,,
3,The Next 365 Days,2,27010000,,
4,Day Shift,3,20460000,,
5,Purple Hearts,5,12360000,,
6,The Mummy,1,11540000,,
7,Running with the Devil: The Wild World of John McAfee,1,10630000,,
8,Untold: The Girlfriend Who Didn't Exist,2,10480000,,
9,That's Amor,1,10470000,,
10,The Great Wall,1,10090000,,
1,Day Shift,2,63390000,,
2,Look Both Ways,1,48060000,,
3,The Next 365 Days,1,39310000,,
4,Purple Hearts,4,23410000,,
5,Untold: The Girlfriend Who Didn't Exist,1,20050000,,
6,The Gray Man,5,14640000,,
7,The Angry Birds Movie 2,1,11470000,,
8,Uncharted,3,8660000,,
9,The Sea Beast,7,8120000,,
10,Inside the Mind of a Cat,1,6990000,,
1,Day Shift,2,63390000,,
2,Look Both Ways,1,48060000,,
3,The Next 365 Days,1,39310000,,
4,Purple Hearts,4,23410000,,
5,Untold: The Girlfriend Who Didn't Exist,1,20050000,,
6,The Gray Man,5,14640000,,
7,The Angry Birds Movie 2,1,11470000,,
8,Uncharted,3,8660000,,
9,The Sea Beast,7,8120000,,
10,Inside the Mind of a Cat,1,6990000,,
1,Purple Hearts,2,102590000,,
2,The Gray Man,3,38900000,,
3,Uncharted,1,20650000,,
4,Wedding Season,1,18600000,,
5,The Sea Beast,5,14340000,,
6,Spider-Man: Far from Home,2,11320000,,
7,The Age of Adaline,1,9340000,,
8,Tower Heist,1,8700000,,
9,Men in Black 3,1,8680000,,
10,Sing 2,7,7950000,,
1,The Gray Man,2,96470000,,
2,Purple Hearts,1,48230000,,
3,The Sea Beast,4,21070000,,
4,Persuasion,3,11070000,,
5,Sing 2,6,9370000,,
6,Spider-Man: Far from Home,1,8300000,,
7,The Man from Toronto,6,7620000,,
8,Shania Twain: Not Just a Girl,1,4640000,,
9,Line of Duty,1,4140000,,
10,Red Notice,14,4090000,,
1,The Gray Man,1,88550000,,
2,The Sea Beast,3,34140000,,
3,Persuasion,2,29040000,,
4,Clean,1,11290000,,
5,Daughter of the Wolf,1,11080000,,
6,Sing 2,5,10150000,,
7,The Man from Toronto,5,8790000,,
8,Girl in the Picture,3,7360000,,
9,CHIPS,2,5080000,,
10,12 Strong,2,4610000,,
1,The Sea Beast,2,68110000,,
2,Persuasion,1,28720000,,
3,Girl in the Picture,2,23590000,,
4,The Man from Toronto,4,13500000,,
5,Sing 2,4,12220000,,
6,12 Strong,1,11810000,,
7,Spider-Man: No Way Home,1,8080000,,
8,CHIPS,1,7480000,,
9,Hustle,6,6450000,,
10,"Hello, Goodbye, and Everything in Between",2,6170000,,
1,The Sea Beast,1,33520000,,
2,Girl in the Picture,1,28380000,,
3,The Man from Toronto,3,24380000,,
4,Sing 2,3,16580000,,
5,American Assassin,1,13360000,,
6,Grand Isle,1,11460000,,
7,"Hello, Goodbye, and Everything in Between",1,10260000,,
8,Hustle,5,9400000,,
9,Mean Girls,1,8110000,,
10,The Dark Knight Rises,1,7750000,,
1,The Man from Toronto,2,62640000,,
2,Sing 2,2,24080000,,
3,Love & Gelato,2,18900000,,
4,Hustle,4,14640000,,
5,Glamour Girls,1,12390000,,
6,Homefront,1,11000000,,
7,Spiderhead,3,9520000,,
8,The Mist,2,6230000,,
9,Chickenhare and the Hamster of Darkness,4,5980000,,
10,Backtrace,1,4530000,,
1,The Man from Toronto,1,53890000,,
2,Spiderhead,2,38300000,,
3,Hustle,3,26050000,,
4,Love & Gelato,1,25790000,,
5,Sing 2,1,24270000,,
6,Chickenhare and the Hamster of Darkness,3,10960000,,
7,Collision,2,8450000,,
8,The Mist,1,8400000,,
9,Halftime,2,8370000,,
10,It,1,8350000,,
1,Hustle,2,57190000,,
2,Spiderhead,1,35400000,,
3,Chickenhare and the Hamster of Darkness,2,23750000,,
4,Halftime,1,18880000,,
5,Interceptor,3,13110000,,
6,Collision,1,12960000,,
7,Trees of Peace,1,9380000,,
8,Sonic the Hedgehog,8,4570000,,
